[ Valid | 102/200 ] loss = 2.9495, acc = 0.32711, best_acc = 0.360
[ Train | 103/200 ] loss = 2.2712, best_acc = 0.360
[ Valid | 103/200 ] loss = 2.9386, acc = 0.34862, best_acc = 0.360
[ Train | 104/200 ] loss = 2.2731, best_acc = 0.360
[ Valid | 104/200 ] loss = 2.9770, acc = 0.32711, best_acc = 0.360
[ Train | 105/200 ] loss = 2.2526, best_acc = 0.360
[ Valid | 105/200 ] loss = 2.9063, acc = 0.32914, best_acc = 0.360
[ Train | 106/200 ] loss = 2.2710, best_acc = 0.360
[ Valid | 106/200 ] loss = 2.8704, acc = 0.34639, best_acc = 0.360
[ Train | 107/200 ] loss = 2.2653, best_acc = 0.360
[ Valid | 107/200 ] loss = 2.9095, acc = 0.35126, best_acc = 0.360
[ Train | 108/200 ] loss = 2.2546, best_acc = 0.360
[ Valid | 108/200 ] loss = 2.8857, acc = 0.35958, best_acc = 0.360
[ Train | 109/200 ] loss = 2.2422, best_acc = 0.360
[ Valid | 109/200 ] loss = 2.8976, acc = 0.34842, best_acc = 0.360
[ Train | 110/200 ] loss = 2.2289, best_acc = 0.360
[ Valid | 110/200 ] loss = 2.9140, acc = 0.35998, best_acc = 0.360
[ Train | 111/200 ] loss = 2.2280, best_acc = 0.360
[ Valid | 111/200 ] loss = 2.8951, acc = 0.34030, best_acc = 0.360
[ Train | 112/200 ] loss = 2.2219, best_acc = 0.360
[ Valid | 112/200 ] loss = 2.9154, acc = 0.35146, best_acc = 0.360
[ Train | 113/200 ] loss = 2.2175, best_acc = 0.360
[ Valid | 113/200 ] loss = 2.9163, acc = 0.34436, best_acc = 0.360
[ Train | 114/200 ] loss = 2.2283, best_acc = 0.360
[ Valid | 114/200 ] loss = 2.9508, acc = 0.35349, best_acc = 0.360
[ Train | 115/200 ] loss = 2.1926, best_acc = 0.360
[ Valid | 115/200 ] loss = 2.9530, acc = 0.33381, best_acc = 0.360
[ Train | 116/200 ] loss = 2.1939, best_acc = 0.360
[ Valid | 116/200 ] loss = 2.9044, acc = 0.34010, best_acc = 0.360
[ Train | 117/200 ] loss = 2.1919, best_acc = 0.360
[ Valid | 117/200 ] loss = 2.9099, acc = 0.36384, best_acc = 0.360
[ Train | 118/200 ] loss = 2.1910, best_acc = 0.364
[ Valid | 118/200 ] loss = 2.9171, acc = 0.34923, best_acc = 0.364
[ Train | 119/200 ] loss = 2.1833, best_acc = 0.364
[ Valid | 119/200 ] loss = 2.8799, acc = 0.37054, best_acc = 0.364
[ Train | 120/200 ] loss = 2.1702, best_acc = 0.371
[ Valid | 120/200 ] loss = 2.9398, acc = 0.33604, best_acc = 0.371
[ Train | 121/200 ] loss = 2.1794, best_acc = 0.371
[ Valid | 121/200 ] loss = 2.9108, acc = 0.37500, best_acc = 0.371
[ Train | 122/200 ] loss = 2.1747, best_acc = 0.375
[ Valid | 122/200 ] loss = 2.9104, acc = 0.36445, best_acc = 0.375
[ Train | 123/200 ] loss = 2.1831, best_acc = 0.375
[ Valid | 123/200 ] loss = 2.8626, acc = 0.35938, best_acc = 0.375
[ Train | 124/200 ] loss = 2.1572, best_acc = 0.375
[ Valid | 124/200 ] loss = 2.8670, acc = 0.33969, best_acc = 0.375
[ Train | 125/200 ] loss = 2.1703, best_acc = 0.375
[ Valid | 125/200 ] loss = 2.9246, acc = 0.34253, best_acc = 0.375
[ Train | 126/200 ] loss = 2.1702, best_acc = 0.375
[ Valid | 126/200 ] loss = 2.9044, acc = 0.35572, best_acc = 0.375
[ Train | 127/200 ] loss = 2.1651, best_acc = 0.375
[ Valid | 127/200 ] loss = 2.8714, acc = 0.36201, best_acc = 0.375
[ Train | 128/200 ] loss = 2.1573, best_acc = 0.375
[ Valid | 128/200 ] loss = 2.8675, acc = 0.35532, best_acc = 0.375
[ Train | 129/200 ] loss = 2.1468, best_acc = 0.375
[ Valid | 129/200 ] loss = 2.8742, acc = 0.36830, best_acc = 0.375
[ Train | 130/200 ] loss = 2.1409, best_acc = 0.375
[ Valid | 130/200 ] loss = 2.9098, acc = 0.35369, best_acc = 0.375
[ Train | 131/200 ] loss = 2.1382, best_acc = 0.375
[ Valid | 131/200 ] loss = 2.9253, acc = 0.36465, best_acc = 0.375
[ Train | 132/200 ] loss = 2.1391, best_acc = 0.375
[ Valid | 132/200 ] loss = 2.9717, acc = 0.35816, best_acc = 0.375
[ Train | 133/200 ] loss = 2.1357, best_acc = 0.375
[ Valid | 133/200 ] loss = 2.8881, acc = 0.35308, best_acc = 0.375
[ Train | 134/200 ] loss = 2.1212, best_acc = 0.375
[ Valid | 134/200 ] loss = 2.8781, acc = 0.35572, best_acc = 0.375
[ Train | 135/200 ] loss = 2.1156, best_acc = 0.375
[ Valid | 135/200 ] loss = 2.8728, acc = 0.36222, best_acc = 0.375
[ Train | 136/200 ] loss = 2.1252, best_acc = 0.375
[ Valid | 136/200 ] loss = 2.9053, acc = 0.35572, best_acc = 0.375
[ Train | 137/200 ] loss = 2.1223, best_acc = 0.375
[ Valid | 137/200 ] loss = 2.8474, acc = 0.37683, best_acc = 0.375
[ Train | 138/200 ] loss = 2.1149, best_acc = 0.377
[ Valid | 138/200 ] loss = 2.8715, acc = 0.35775, best_acc = 0.377
[ Train | 139/200 ] loss = 2.1146, best_acc = 0.377
[ Valid | 139/200 ] loss = 2.8865, acc = 0.35795, best_acc = 0.377
[ Train | 140/200 ] loss = 2.1000, best_acc = 0.377
[ Valid | 140/200 ] loss = 2.9099, acc = 0.36404, best_acc = 0.377
[ Train | 141/200 ] loss = 2.1097, best_acc = 0.377
[ Valid | 141/200 ] loss = 2.8416, acc = 0.35329, best_acc = 0.377
[ Train | 142/200 ] loss = 2.1010, best_acc = 0.377
[ Valid | 142/200 ] loss = 2.8738, acc = 0.35146, best_acc = 0.377
[ Train | 143/200 ] loss = 2.1032, best_acc = 0.377
[ Valid | 143/200 ] loss = 2.9232, acc = 0.35816, best_acc = 0.377
[ Train | 144/200 ] loss = 2.0948, best_acc = 0.377
[ Valid | 144/200 ] loss = 2.8438, acc = 0.37926, best_acc = 0.377
[ Train | 145/200 ] loss = 2.0992, best_acc = 0.379
[ Valid | 145/200 ] loss = 2.8371, acc = 0.36404, best_acc = 0.379
[ Train | 146/200 ] loss = 2.0868, best_acc = 0.379
[ Valid | 146/200 ] loss = 2.8365, acc = 0.37277, best_acc = 0.379
[ Train | 147/200 ] loss = 2.0897, best_acc = 0.379
[ Valid | 147/200 ] loss = 2.9168, acc = 0.35390, best_acc = 0.379
[ Train | 148/200 ] loss = 2.0862, best_acc = 0.379
[ Valid | 148/200 ] loss = 2.8978, acc = 0.35349, best_acc = 0.379
[ Train | 149/200 ] loss = 2.0799, best_acc = 0.379
[ Valid | 149/200 ] loss = 2.8973, acc = 0.37338, best_acc = 0.379
[ Train | 150/200 ] loss = 2.0897, best_acc = 0.379
[ Valid | 150/200 ] loss = 2.8762, acc = 0.38190, best_acc = 0.379
[ Train | 151/200 ] loss = 2.0798, best_acc = 0.382
[ Valid | 151/200 ] loss = 2.8356, acc = 0.37520, best_acc = 0.382
[ Train | 152/200 ] loss = 2.0722, best_acc = 0.382
[ Valid | 152/200 ] loss = 2.8817, acc = 0.35166, best_acc = 0.382
[ Train | 153/200 ] loss = 2.0799, best_acc = 0.382
[ Valid | 153/200 ] loss = 2.9027, acc = 0.37094, best_acc = 0.382
[ Train | 154/200 ] loss = 2.0670, best_acc = 0.382
